Poznan,52.41,16.93,Poland,ObjectId("5ce52dd5e02c276645971df0")
Warsaw,52.23,21.01,Poland,ObjectId("5ce52dd5e02c276645971df3")
Krakow,50.06,19.94,Poland,ObjectId("5ce52dd5e02c276645971df6")
Gdansk,54.35,18.65,Poland,ObjectId("5ce52dd5e02c276645971df9")
Wroclaw,51.1,17.03,Poland,ObjectId("5ce52dd5e02c276645971dfc")
Berlin,52.52,13.39,Germany,ObjectId("5ce52dd5e02c276645971dff")
Cologne,50.94,6.96,Germany,ObjectId("5ce52dd5e02c276645971e02")
Hamburg,53.55,10,Germany,ObjectId("5ce52dd5e02c276645971e05")
Munich,48.14,11.58,Germany,ObjectId("5ce52dd5e02c276645971e08")
Frankfurt,49.68,10.53,Germany,ObjectId("5ce52dd5e02c276645971e0b")
London,51.51,-0.13,United Kingdom,ObjectId("5ce52dd5e02c276645971e0e")
Nottingham,52.95,-1.15, United Kingdom,ObjectId("5ce52dd5e02c276645971e11")
Oxford,51.75,-1.26, United Kingdom,ObjectId("5ce52dd5e02c276645971e14")
Cambridge,52.2,0.12, United Kingdom,ObjectId("5ce52dd5e02c276645971e17")
Manchester,53.48,-2.24, United Kingdom,ObjectId("5ce52dd5e02c276645971e1a")
Moscow,55.75,37.62,Russia,ObjectId("5ce52dd5e02c276645971e1d")
Saint Petersburg,59.94,30.32,Russia,ObjectId("5ce52dd5e02c276645971e20")
Chelyabinsk, 55.16, 61.43,Russia,ObjectId("5ce52dd5e02c276645971e23")
Yekaterinburg,56.84,60.61,Russia,ObjectId("5ce52dd5e02c276645971e26")
Nizhny Novgorod,56.33,44,Russia,ObjectId("5ce52dd5e02c276645971e29")
Kyiv,50.45,30.52,Ukraine,ObjectId("5ce52dd5e02c276645971e2c")
Kharkiv,49.99,36.23,Ukraine,ObjectId("5ce52dd5e02c276645971e2f")
Odessa,46.48,30.73,Ukraine,ObjectId("5ce52dd5e02c276645971e32")
Dnipro,48.47,35.04,Ukraine,ObjectId("5ce52dd5e02c276645971e35")
Donetsk,48.02,37.8,Ukraine,ObjectId("5ce52dd5e02c276645971e38")
Paris,48.86,2.35,France,ObjectId("5ce52dd5e02c276645971e3b")
Marseille,43.3,5.37,France,ObjectId("5ce52dd5e02c276645971e3e")
Lyon,45.76,4.83,France,ObjectId("5ce52dd5e02c276645971e41")
Toulouse,43.6,1.44,France,ObjectId("5ce52dd5e02c276645971e44")
Nice,43.7,7.27,France,ObjectId("5ce52dd5e02c276645971e47")
Madrid,40.42,-3.7,Spain,ObjectId("5ce52dd5e02c276645971e4a")
Barcelona,41.38,2.18,Spain,ObjectId("5ce52dd5e02c276645971e4d")
Valencia,39.47,-0.38,Spain,ObjectId("5ce52dd5e02c276645971e50")
Seville,37.39,-6,Spain,ObjectId("5ce52dd5e02c276645971e53")
Zaragoza,41.65,-0.88,Spain,ObjectId("5ce52dd5e02c276645971e56")
Rome,41.89,12.48,Italy,ObjectId("5ce52dd5e02c276645971e59")
Milan,45.47,9.19,Italy,ObjectId("5ce52dd5e02c276645971e5c")
Naples,26.14,-81.79,Italy,ObjectId("5ce52dd5e02c276645971e5f")
Turin,45.07,7.68,Italy,ObjectId("5ce52dd5e02c276645971e62")
Palermo,2.89,-75.43,Italy,ObjectId("5ce52dd5e02c276645971e65")
